Date;USD;JPY;BGN;CYP;CZK;DKK;EEK;GBP;HUF;LTL;LVL;MTL;PLN;ROL;RON;SEK;SIT;SKK;CHF;ISK;NOK;HRK;RUB;TRL;TRY;AUD;BRL;CAD;CNY;HKD;IDR;ILS;INR;KRW;MXN;MYR;NZD;PHP;SGD;THB;ZAR
26.1.2022;0.000798403;0.002875463;0;NA;0.001264506;-0.000228407;NA;-0.003050771;0.00063968;NA;NA;NA;0.002466846;NA;6.07E-05;-0.005030725;NA;NA;0.002120483;-0.002743486;-0.012605626;-6.64E-05;0.005916758;NA;0.001007853;-0.005516643;-0.015674429;-0.005207612;-0.000448751;0.000752068;0.000974815;-0.00178442;0.001799583;-0.000503566;-0.004578774;0.001164255;-0.002723829;-0.000432972;0.000329826;-0.002981909;-0.010543665
27.1.2022;-0.010429296;-0.000931677;0;NA;-0.004248546;0.000107492;NA;-0.001078969;-0.004402593;NA;NA;NA;-0.005948233;NA;0.000303285;-0.000411596;NA;NA;0.000481301;-0.002751033;-0.00211981;0.000504588;-0.024104929;NA;-0.006108482;0.00279383;-0.015258909;-0.000847039;-0.003259483;-0.009614248;-0.008244424;-0.00388654;-0.007603261;-0.004104618;-0.001791593;-0.009010602;0.000414975;-0.007528965;-0.004826296;-0.00121142;0.001485511
28.1.2022;-0.001973272;-0.000466164;0;NA;0.000654798;5.37E-05;NA;-0.002281653;0.000921132;NA;NA;NA;0.003568813;NA;-6.06E-05;0.01019202;NA;NA;-0.001251866;-0.008298803;0.003567097;-0.000504588;-0.006074253;NA;-0.003441346;0.012601767;-0.000199491;0.005492972;-0.002874902;-0.001622919;-0.000290341;5.60E-05;-0.002243852;0.003689726;0.001830411;-0.003764227;0.00937977;-0.004670985;0.001324591;0.002824367;0.015840032
31.1.2022;0.001614785;0.000854469;0;NA;-0.002908944;-0.000174671;NA;-0.000300605;-0.00343763;NA;NA;NA;0.002989735;NA;0.000242576;-0.005988326;NA;NA;0.002502167;-0.005571045;-0.001746987;3.98E-05;0.001313054;NA;-0.014059167;-0.009499615;-0.001947129;-0.000421467;0.001494853;0.002117328;-0.000685689;-0.001598049;-0.002826908;-0.000289044;8.63E-06;0.000535556;-0.002822369;-0.0007543;6.62E-05;-0.002285777;-0.000632951
1.2.2022;0.009279153;0.002559034;0;NA;-0.001519289;-0.000161262;NA;0.004140395;-0.002270276;NA;NA;NA;-0.001919386;NA;-0.000202143;-0.004318588;NA;NA;-0.002887672;0.004181191;-0.004476207;-0.000239095;-0.004638004;NA;0.008894756;0.00302954;-0.007658772;0.004626393;0.009285561;0.008983141;0.005567272;0.00056101;0.009924736;0.003352219;-0.002418214;0.009294262;0.002881084;0.009275095;0.00587286;0.006280045;-0.012166918
2.2.2022;0.005579433;0.001934311;0;NA;-0.001521601;-0.000322602;NA;-0.001234324;-0.005430285;NA;NA;NA;-0.007780605;NA;-4.04E-05;-0.005646044;NA;NA;0.002406972;-0.004181191;-0.004123385;-0.000199289;-0.005911526;NA;0.015590377;-0.002523979;0.001761022;0.002165637;0.00558299;0.005294745;0.007271519;0.003275616;0.004928628;0.004143265;0.003616516;0.005564915;-0.001292521;0.004666056;0.003612128;0.00525664;0.010582784
3.2.2022;-0.003273036;0.002007723;0;NA;-0.006730973;6.72E-05;NA;-0.002244858;-0.001439885;NA;NA;NA;-0.002952715;NA;-4.04E-05;0.000192567;NA;NA;0.000769009;-0.005602256;0.003189571;0.000464946;0.004230391;NA;0.00023525;0.001325883;0.00277778;0.000279096;-0.003212329;-0.003166661;-4.31E-05;0.004796039;-0.00112339;-0.000596103;0.000968798;-0.003741799;-0.000529241;-0.003067779;-0.002757174;-0.004026726;-0.003436102
4.2.2022;0.015648671;0.015994219;0;NA;0.009279374;0.000591318;NA;0.016508024;-0.002886005;NA;NA;NA;0.003502631;NA;0.000101085;0.00571197;NA;NA;0.015257281;0.002805051;0.009378756;-0.000265657;0.013035069;NA;0.013144461;0.019742004;0.016358622;0.017222129;0.015589254;0.014894324;0.015266465;0.02179203;0.013240478;0.011433046;0.01493786;0.014696099;0.016682608;0.019697789;0.013515925;0.009917525;0.017268357
7.2.2022;-0.001484004;-0.000987429;0;NA;-0.005681132;0.000147775;NA;0.001086969;0.001585504;NA;NA;NA;-0.000924031;NA;-0.000101085;0.000172292;NA;NA;0.000378465;0.004192878;0.001740073;-0.000996843;-0.008362715;NA;0.001050573;-0.004215492;-0.004762267;-0.002540425;-0.001591986;-0.00094124;-0.000860727;-0.005294194;-0.001285205;-0.001660719;-0.000449528;-0.000104359;-0.000520758;0.003805257;-0.001947547;-0.001641689;0.006376217
8.2.2022;-0.003412823;0.000683709;0;NA;0.001526371;-8.06E-05;NA;-0.003809573;-0.001103925;NA;NA;NA;-0.002644805;NA;-0.000222422;-0.000478661;NA;NA;-0.002462589;-0.006997929;0.00099297;0.000199448;-0.00931418;NA;0.002078555;-0.004482916;-0.005498979;-0.002822624;-0.002351438;-0.003132634;-0.003682365;0.005620751;-0.003278903;-0.002832491;-0.000632225;-0.003533757;-0.004757217;-0.004469262;-0.002602643;-0.003424434;-0.003508974
